ADT_Cabuçu,ADT_Ceramica,ADT_Moqueta,OVT_Cabuçu,OVT_Ceramica,OVT_Moqueta,month,mean_prec,mean_t_min,mean_t_med,mean_t_max
0.1684210526,0.3260869565,0.5102040816,15.1929824561,49.8181818182,29.0672268908,2011_07,2.9,15.853571428575,20.887499999975,25.921428571425004
0.2040816327,0.2043010753,0.4081632653,19.5042735043,33.475,28.3361344538,2011_08,4.175000000000001,17.128571428599997,22.3482142857,27.56785714285
0.1020408163,0.1348314607,0.2680412371,14.3739130435,18.686440678,28.512605042,2011_09,5.475,17.639285714275,22.49821428575,27.35714285715
0.11,0.18,0.3131313131,17.775862069,18.9661016949,32.4745762712,2011_10,9.075,18.321428571425,23.076785714274997,27.83214285715
0.12,0.28,0.42,68.7079646018,66.7280701754,59.8235294118,2011_11,2.675,18.760714285725,23.414285714275003,28.067857142875
0.2828282828,0.2077922078,0.63,57.7328767123,54.9495798319,54.3949579832,2011_12,20.424999999999997,21.203571428575,24.751785714275,28.299999999999997
0.325,0.2688172043,0.4141414141,140.8965517241,112.1217391304,96.1833333333,2012_01,71.675,22.0392857143,26.50535714285,30.971428571425
0.24,0.101010101,0.3131313131,65.0614035088,34.0956521739,30.6355932203,2012_02,16.775,22.710714285725,27.998214285725,33.285714285699996
0.2,0.1145833333,0.2323232323,111.1415929204,37.5,22.6806722689,2012_03,35.025,22.98214285715,28.14107142855,33.3
0.17,0.15,0.303030303,139.9237288136,40.8991596639,57.5,2012_04,19.275,22.442857142875,26.90357142855,31.3642857143
0.32,0.3232323232,0.3838383838,105.8644067797,31.1083333333,26.0924369748,2012_05,24.700000000000003,20.08214285715,24.1267857143,28.171428571425
0.0510204082,0.1978021978,0.2142857143,73.7948717949,14.9152542373,30.4117647059,2012_06,16.525,19.389285714275,23.135714285725,26.882142857175
