ADT_Jd_Santarem,ADT_Republica,ADT_Santarenzinho,OVT_Jd_Santarem,OVT_Republica,OVT_Santarenzinho,month,mean_prec,mean_t_min,mean_t_med,mean_t_max
0.1298701299,0.0801687764,0.1265822785,78.696969697,56.4033613445,121.4237288136,2010_03,62.95,23.858571428575,26.208571428575,28.7507142857
0.0,0.0425531915,0.1101694915,34.8782608696,45.0341880342,48.3739130435,2010_04,109.0,23.9148809524,26.065476190475003,28.4625
0.05,0.0292887029,0.0794979079,55.5142857143,36.8644067797,43.0833333333,2010_05,112.3,23.992678571425,25.74660714285,27.9631547619
0.0083333333,0.0210084034,0.0458333333,33.8376068376,26.9663865546,33.5462184874,2010_06,54.349999999999994,23.724404761925,25.721428571425,27.824404761925
0.025,0.0791666667,0.05,50.4396551724,48.6517857143,36.2966101695,2010_07,26.025,23.260714285725,25.860714285725003,28.328571428575
0.0458333333,0.025,0.0125,73.6016949153,55.2672413793,57.4786324786,2010_08,37.1,23.678214285725,26.28714285715,28.983333333350004
0.0083682008,0.0085470085,0.025210084,38.5480769231,25.8782608696,26.6890756303,2010_09,1.95,24.948214285725,28.4619047619,31.498214285725
0.0,0.0167364017,0.0378151261,16.5546218487,7.1355932203,18.2627118644,2010_10,1.425,25.64702380955,29.500595238125,33.0398809524
0.0125,0.0595744681,0.025,32.3697478992,38.225,28.5916666667,2010_11,26.65,25.535416666675,29.2773809524,32.63125
0.0327102804,0.0386266094,0.0208333333,84.425,44.4382022472,52.4310344828,2010_12,43.0,24.7488095238,28.155952380975,31.70476190475
0.0546218487,0.10041841,0.0958333333,73.8319327731,88.7457627119,53.4117647059,2011_01,51.5,23.950595238074996,26.53273809525,29.36857142855
0.0210970464,0.0504201681,0.0583333333,49.25,43.6324786325,38.7521367521,2011_02,111.95,23.407142857175,25.367857142875003,27.676190476175
0.06,0.12,0.0808080808,40.0833333333,27.9827586207,34.7333333333,2011_03,65.0,22.04285714285,25.958809523824996,29.915
0.025,0.037037037,0.0215053763,31.1596638655,46.275862069,16.218487395,2011_04,125.425,21.921428571425,25.79464285715,29.66785714285
0.0,0.0309278351,0.0,18.9166666667,35.2605042017,11.1583333333,2011_05,82.575,22.02142857145,25.937499999975,29.85357142855
0.0,0.0101010101,0.0101010101,12.3361344538,17.6554621849,5.3781512605,2011_06,18.85,22.185714285725,26.474999999975,30.7642857143
0.01,0.0,0.0103092784,7.5416666667,18.8235294118,3.756302521,2011_07,27.7,22.174999999999997,26.375000000000004,30.575
0.0,0.0,0.01,7.575,12.731092437,12.1428571429,2011_08,19.575000000000003,22.16785714285,26.8482142857,31.52857142855
0.0,0.0101010101,0.0101010101,10.7583333333,35.1176470588,17.4358974359,2011_09,7.65,22.52857142855,27.337500000025003,32.14642857145
0.0,0.0,0.0,11.3666666667,25.1355932203,24.6083333333,2011_10,7.6,22.721428571425,27.7125,32.703571428575
0.0,0.0,0.0,18.5966386555,18.906779661,21.4957983193,2011_11,32.95,22.37857142855,27.098214285725003,31.81785714285
0.0,0.0,0.0,18.4789915966,33.475,7.7333333333,2011_12,0.275,22.635714285725,27.49285714285,32.35
0.0,0.0202020202,0.0,34.1848739496,19.0916666667,17.15,2012_01,31.075,22.528571428575,26.9892857143,31.45
0.0,0.0,0.0,30.7666666667,52.1271186441,33.575,2012_02,49.8,22.0642857143,25.812499999999996,29.560714285725
