Day,OVT_house,OVT_park,OVT_street,ADT_house,ADT_park,ADT_street,Temperature,Pluviosity
0,5.857705731253537,0.0,0.6142814029309308,0,0.04220679555849936,0.1605715838924635,25.8285714286,0.0
1,4.856361409600342,21.520515875945758,47.52135468070908,0,0,0.05717706697545916,26.3,78.9
2,12.854108049715892,32.46621043961934,59.432528331484846,0.03800159397291552,0.000278790627061092,0,26.7,0.0
3,0.0,36.92110361794035,96.54690695583527,0.02698295881512422,0.03128243415534341,0,28.0166666667,0.0
4,0.0,22.665510981177817,78.61861347749345,0,0.039707933570300384,0.10166722414042755,27.3285714286,20.5
5,0.0,77.27695561220207,141.7255901135267,0.01947747242882103,0.029886009372898287,0.025626699687962568,26.8833333333,81.2
6,2.5051605432528214,43.3682296904068,86.11125258523367,0.02121934954012861,0.000247186693698156,0,26.2833333333,0.0
7,0.0,24.020040779094053,24.011787959035896,0.03499091766002732,0.014082657422234003,0.0010325001980213064,25.0714285714,0.0
8,0.0,32.78629905498094,80.38116318503175,0.02508130817542892,0.06798406396522508,0,24.28,0.0
9,9.579923124536394,20.073535271311403,0.0,0,0.1315444406885904,0.13379079128766388,24.4,0.0
10,0.0,19.387686684443324,36.3155687887345,0,0.05705120512633843,0.014697714887602832,25.8,0.0
11,0.0,10.138875008898237,19.987273149749022,0.004723771431215953,0.09576241719796595,0.10584119705454142,25.6666666667,0.0
12,10.753348384703077,20.642137956532988,23.74468503406497,0.08174462840778711,0.08541170540616322,0,28.0285714286,0.1
13,12.968691874410785,46.50158306622672,50.89622711507247,0.08272801779971273,0.01814427054109747,0.004965192994268606,26.9142857143,82.4
14,0.0,105.92428493683975,158.42946334004796,0.27898191374350034,0,0,28.0857142857,1.2999999999999972
15,0.0,140.7498204980098,161.88006707886808,0,0.3410525226030635,0.6094823442183621,27.7571428571,4.2
16,0.0,95.3273342255402,78.58421672831469,0.07211758862824995,0.24910351450418558,0,27.9428571429,32.8
17,19.882391673808122,43.50055004432124,0.0,0,0.41580672646435873,0.011763827514614593,26.8571428571,158.2
18,0.0,36.63665841029716,99.65157681380734,0.043413765328976825,0.063403333352877,0,25.1357142857,163.0
19,0.0,32.04038526639308,116.33347641058509,0,0.14532755082480134,0,24.7785714286,36.79999999999998
20,0.0,17.49060140821087,90.77504028362233,0.04935803138545928,0.038113623791115825,0,25.8142857143,10.0
21,0.0,8.515642982436564,86.37800930951936,0.0036531234225470493,0.018077839458719627,0,25.4785714286,25.1
22,0.0,9.347714893111068,53.276081736356375,0.02636938887275551,0,0.030538204483394164,26.5785714286,1.3000000000000007
23,0.0,8.264600464093428,106.1827530289827,0.023158202194050036,0.019182546053773536,0.015344411841856453,27.25,20.4
